"ObsID";"StudyID";"TumourType";"TumourSite";"ObsResult";"pValue";"Operator";"TD50_Gold";"TD50_Lhasa"
1109;743;"Leukaemia- granulocytic";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1159;743;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";0.282;"<=";0.0;0.0
1160;744;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1165;5;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";0.038;"<=";0.0;288.481926
1166;192;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";0.0661;"<=";0.0;0.0
1214;487;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;643.368266
1215;488;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";0.4949;"<=";0.0;674.120445
1216;1129;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1217;490;"Leukaemia- mononuclear cell";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1244;1068;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1245;26;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1248;190;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1249;191;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1266;452;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1281;1129;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.5041;"<=";0.0;0.0
1282;490;"Lymphoma- malignant";"Adrenal gland medulla";"Not specified";0.4483;"<=";0.0;0.0
1389;1068;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.2475;"<=";0.0;0.0
1390;743;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1391;744;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.1859;"<=";0.0;0.0
1396;457;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1401;190;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.3788;"<=";0.0;0.0
1402;5;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.2475;"<=";0.0;0.0
1403;192;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1452;452;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.016;"<=";0.0;43.596623
1494;487;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1495;488;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.4482;"<=";0.0;0.0
1496;1129;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.0209;"<=";0.0;111.883802
1497;490;"Pheochromocytoma- benign";"Adrenal gland medulla";"Not specified";0.036;"<=";0.0;140.561335
1545;487;"Pheochromocytoma- complex";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1546;488;"Pheochromocytoma- complex";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1547;1129;"Pheochromocytoma- complex";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1548;490;"Pheochromocytoma- complex";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1603;1068;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";0.2475;"<=";0.0;1711.211387
1604;26;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";1.0;"=";0.0;0.0
1605;744;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1611;192;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";0.2475;"<=";0.0;7717.284515
1647;452;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";0.5006;"<=";0.0;0.0
1674;1129;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";0.5;"<=";0.0;0.0
1675;490;"Pheochromocytoma- malignant";"Adrenal gland medulla";"Not specified";0.4384;"<=";0.0;0.0
1681;191;"Carcinoma- alveolar/bronchiolar";"Blood vessel";"Not specified";1.0;"=";0.0;0.0
1685;452;"Lymphoma- malignant";"Blood vessel";"Not specified";0.5;"<=";0.0;0.0
1686;1129;"Lymphoma- malignant";"Blood vessel";"Not specified";1.0;"=";0.0;0.0
1687;490;"Lymphoma- malignant";"Blood vessel";"Not specified";1.0;"=";0.0;0.0
1689;191;"Carcinoma- alveolar/bronchiolar";"Aorta";"Not specified";1.0;"=";0.0;0.0
1696;190;"Histiocytoma- fibrous";"Aorta";"Not specified";0.5;"<=";0.0;0.0
1697;452;"Haemangiosarcoma";"Aorta";"Not specified";1.0;"=";0.0;0.0
1700;190;"Sarcoma- histiocytic";"Aorta";"Not specified";0.5;"<=";0.0;0.0
1704;5;"Leukaemia- mononuclear cell";"Aorta";"Not specified";0.2499;"<=";0.0;709.474535
1705;192;"Leukaemia- mononuclear cell";"Aorta";"Not specified";0.0743;"<=";0.0;0.0
1710;190;"Lymphoma- malignant";"Aorta";"Not specified";0.2475;"<=";0.0;0.0
1714;452;"Lymphoma- malignant";"Aorta";"Not specified";0.5;"<=";0.0;0.0
1725;490;"Histiocytoma- fibrous";"Blood vessel";"Not specified";1.0;"=";0.0;0.0
1730;190;"Sarcoma- histiocytic";"Blood vessel";"Not specified";0.5;"<=";0.0;0.0
1738;743;"Leukaemia- mononuclear cell";"Blood vessel";"Not specified";1.0;"=";0.0;0.0
1739;744;"Leukaemia- mononuclear cell";"Blood vessel";"Not specified";0.5;"<=";0.0;0.0
1883;744;"Chordoma";"Bone";"Not specified";1.0;"=";0.0;0.0
1885;192;"Chordoma";"Bone";"Not specified";1.0;"=";0.0;0.0
1891;490;"Chordoma";"Bone";"Not specified";1.0;"=";0.0;0.0
1921;744;"Sarcoma- histiocytic";"Bone";"Not specified";0.5;"<=";0.0;0.0
1990;1068;"Osteosarcoma";"Bone";"Not specified";0.5;"<=";0.0;0.0
1991;743;"Osteosarcoma";"Bone";"Not specified";0.5;"<=";0.0;0.0
1997;192;"Osteosarcoma";"Bone";"Not specified";0.5;"<=";0.0;0.0
2056;190;"Sarcoma- stromal cell";"Bone";"Not specified";1.0;"=";0.0;0.0
2057;191;"Schwannoma- malignant";"Bone";"Not specified";1.0;"=";0.0;0.0
2058;452;"Schwannoma- malignant";"Bone";"Not specified";0.5;"<=";0.0;184.2016
2183;190;"Carcinoma";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2185;490;"Carcinoma";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2233;26;"Haemangiosarcoma";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2238;190;"Haemangiosarcoma";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2239;191;"Haemangiosarcoma";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2331;1068;"Sarcoma- histiocytic";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2335;190;"Sarcoma- histiocytic";"Bone marrow";"Not specified";0.2475;"<=";0.0;0.0
2336;5;"Sarcoma- histiocytic";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2364;452;"Sarcoma- histiocytic";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2392;487;"Sarcoma- histiocytic";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2393;488;"Sarcoma- histiocytic";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2394;490;"Sarcoma- histiocytic";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2397;490;"Leukaemia";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2408;487;"Leukaemia- granulocytic";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2409;488;"Leukaemia- granulocytic";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2410;490;"Leukaemia- granulocytic";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2458;743;"Leukaemia- mononuclear cell";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2459;744;"Leukaemia- mononuclear cell";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2464;5;"Leukaemia- mononuclear cell";"Bone marrow";"Not specified";0.0133;"<=";0.0;579.985618
2465;192;"Leukaemia- mononuclear cell";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2516;488;"Leukaemia- mononuclear cell";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2517;452;"Lipoma";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2572;1068;"Lymphoma- malignant";"Bone marrow";"Not specified";0.2499;"<=";0.0;0.0
2579;190;"Lymphoma- malignant";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2612;452;"Lymphoma- malignant";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2635;1129;"Lymphoma- malignant";"Bone marrow";"Not specified";0.305;"<=";0.0;0.0
2636;490;"Lymphoma- malignant";"Bone marrow";"Not specified";0.2502;"<=";0.0;0.0
2651;190;"Tumour- mast cell- malignant";"Bone marrow";"Not specified";0.5;"<=";0.0;0.0
2675;191;"Schwannoma- malignant";"Bone marrow";"Not specified";1.0;"=";0.0;0.0
2678;1129;"Osteoma";"Cranium";"Not specified";1.0;"=";0.0;0.0
2679;490;"Osteoma";"Cranium";"Not specified";1.0;"=";0.0;0.0
2681;487;"Carcinoma- squamous cell";"Mandible";"Not specified";1.0;"=";0.0;0.0
2682;488;"Carcinoma- squamous cell";"Mandible";"Not specified";1.0;"=";0.0;0.0
2683;1129;"Astrocytoma- malignant";"Brainstem";"Not specified";1.0;"=";0.0;0.0
2684;490;"Astrocytoma- malignant";"Brainstem";"Not specified";1.0;"=";0.0;0.0
2685;1129;"Glioma- malignant";"Brainstem";"Not specified";1.0;"=";0.0;0.0
2686;490;"Glioma- malignant";"Brainstem";"Not specified";1.0;"=";0.0;0.0
2688;1129;"Lymphoma- malignant";"Brainstem";"Not specified";0.5;"<=";0.0;0.0
2689;490;"Lymphoma- malignant";"Brainstem";"Not specified";0.4384;"<=";0.0;0.0
2690;490;"Reticulosis- malignant";"Brainstem";"Not specified";1.0;"=";0.0;0.0
2691;487;"Astrocytoma- malignant";"Cerebellum";"Not specified";0.5;"<=";0.0;0.0
2692;488;"Astrocytoma- malignant";"Cerebellum";"Not specified";0.5;"<=";0.0;0.0
2693;1129;"Astrocytoma- malignant";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2694;490;"Astrocytoma- malignant";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2696;487;"Tumour- granular cell- benign";"Cerebellum";"Not specified";0.5;"<=";0.0;643.368266
2697;488;"Tumour- granular cell- benign";"Cerebellum";"Not specified";0.4337;"<=";0.0;0.0
2698;1129;"Tumour- granular cell- benign";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2699;490;"Tumour- granular cell- benign";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2700;1129;"Tumour- granular cell- malignant";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2701;490;"Tumour- granular cell- malignant";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2705;488;"Leukaemia- mononuclear cell";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2707;1129;"Lymphoma- malignant";"Cerebellum";"Not specified";0.5;"<=";0.0;0.0
2708;490;"Lymphoma- malignant";"Cerebellum";"Not specified";0.4384;"<=";0.0;0.0
2709;490;"Reticulosis- malignant";"Cerebellum";"Not specified";1.0;"=";0.0;0.0
2749;487;"Astrocytoma- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2750;488;"Astrocytoma- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2751;1129;"Astrocytoma- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2752;490;"Astrocytoma- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2754;488;"Carcinoma";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2769;1129;"Glioma- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2770;490;"Glioma- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2771;488;"Glioma- mixed- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2778;487;"Tumour- granular cell- benign";"Cerebrum";"Not specified";0.5037;"<=";0.0;0.0
2779;488;"Tumour- granular cell- benign";"Cerebrum";"Not specified";0.4337;"<=";0.0;0.0
2780;1129;"Tumour- granular cell- benign";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2781;490;"Tumour- granular cell- benign";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2782;487;"Tumour- granular cell- malignant";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2783;488;"Tumour- granular cell- malignant";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2784;1129;"Tumour- granular cell- malignant";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2785;490;"Tumour- granular cell- malignant";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2786;487;"Tumour- granular cell";"Cerebrum";"Not specified";0.5;"<=";0.0;643.368266
2787;488;"Tumour- granular cell";"Cerebrum";"Not specified";0.5;"<=";0.0;675.178436
2793;487;"Sarcoma- histiocytic";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2794;488;"Sarcoma- histiocytic";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2795;487;"Leukaemia- granulocytic";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2796;488;"Leukaemia- granulocytic";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2801;487;"Leukaemia- mononuclear cell";"Cerebrum";"Not specified";0.5;"<=";0.0;643.368266
2802;488;"Leukaemia- mononuclear cell";"Cerebrum";"Not specified";0.5;"<=";0.0;675.178436
2803;1129;"Leukaemia- mononuclear cell";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2804;490;"Leukaemia- mononuclear cell";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2807;1129;"Lymphoma- malignant";"Cerebrum";"Not specified";0.2475;"<=";0.0;0.0
2808;490;"Lymphoma- malignant";"Cerebrum";"Not specified";0.2092;"<=";0.0;0.0
2811;487;"Meningioma- malignant";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2812;488;"Meningioma- malignant";"Cerebrum";"Not specified";0.5;"<=";0.0;0.0
2814;490;"Reticulosis- malignant";"Cerebrum";"Not specified";1.0;"=";0.0;0.0
2841;743;"Leukaemia- mononuclear cell";"Brain- meninges";"Not specified";0.5;"<=";0.0;0.0
2848;1129;"Lymphoma- malignant";"Brain- meninges";"Not specified";1.0;"=";0.0;0.0
2849;490;"Lymphoma- malignant";"Brain- meninges";"Not specified";1.0;"=";0.0;0.0
2859;452;"Sarcoma";"Brain- meninges";"Not specified";0.5;"<=";0.0;184.2016
2860;452;"Schwannoma- malignant";"Brain- meninges";"Not specified";0.5;"<=";0.0;184.2016
2906;744;"Astrocytoma- malignant";"Brain";"Not specified";0.5;"<=";0.0;0.0
2919;452;"Astrocytoma- malignant";"Brain";"Not specified";0.5;"<=";0.0;0.0
2963;26;"Carcinoma";"Brain";"Not specified";1.0;"=";0.0;0.0
2964;743;"Carcinoma";"Brain";"Not specified";1.0;"=";0.0;0.0
2994;452;"Carcinoma";"Brain";"Not specified";0.3676;"<=";0.0;159.854853
3020;744;"Histiocytoma- fibrous";"Brain";"Not specified";1.0;"=";0.0;0.0
3055;743;"Tumour- granular cell- benign";"Brain";"Not specified";1.0;"=";0.0;0.0
3093;744;"Sarcoma- histiocytic";"Brain";"Not specified";0.5;"<=";0.0;0.0
3162;743;"Leukaemia- mononuclear cell";"Brain";"Not specified";0.2475;"<=";0.0;0.0
3163;744;"Leukaemia- mononuclear cell";"Brain";"Not specified";0.3788;"<=";0.0;2122.052719
3168;5;"Leukaemia- mononuclear cell";"Brain";"Not specified";1.0;"=";0.0;0.0
3169;192;"Leukaemia- mononuclear cell";"Brain";"Not specified";1.0;"=";0.0;0.0
3245;1068;"Lymphoma- malignant";"Brain";"Not specified";0.2499;"<=";0.0;0.0
3250;190;"Lymphoma- malignant";"Brain";"Not specified";0.5;"<=";0.0;0.0
3267;452;"Lymphoma- malignant";"Brain";"Not specified";1.0;"=";0.0;0.0
3304;743;"Meningioma- malignant";"Brain";"Not specified";0.5;"<=";0.0;0.0
3312;743;"Neuroblastoma";"Brain";"Not specified";0.5;"<=";0.0;0.0
3314;452;"Neurofibrosarcoma";"Brain";"Not specified";1.0;"=";0.0;0.0
3410;5;"Adenoma- bilateral";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3473;743;"Adenoma";"Clitoral gland";"Not specified";0.2367;"<=";0.0;962.995241
3476;5;"Adenoma";"Clitoral gland";"Not specified";0.1046;"<=";0.0;447.898822
3504;488;"Adenoma";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3534;743;"Carcinoma";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3537;5;"Carcinoma";"Clitoral gland";"Not specified";0.3788;"<=";0.0;0.0
3555;452;"Carcinoma";"Clitoral gland";"Not specified";0.5006;"<=";0.0;0.0
3564;487;"Carcinoma";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3565;488;"Carcinoma";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3574;488;"Histiocytoma- fibrous";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3581;190;"Sarcoma- histiocytic";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3582;5;"Sarcoma- histiocytic";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3587;487;"Leukaemia- granulocytic";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3588;488;"Leukaemia- granulocytic";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3603;743;"Leukaemia- mononuclear cell";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3617;487;"Leukaemia- mononuclear cell";"Clitoral gland";"Not specified";0.5;"<=";0.0;643.368266
3618;488;"Leukaemia- mononuclear cell";"Clitoral gland";"Not specified";0.4949;"<=";0.0;674.120445
3629;1068;"Lymphoma- malignant";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3631;190;"Lymphoma- malignant";"Clitoral gland";"Not specified";0.2475;"<=";0.0;0.0
3635;452;"Lymphoma- malignant";"Clitoral gland";"Not specified";0.5;"<=";0.0;0.0
3658;5;"Papilloma- squamous cell";"Clitoral gland";"Not specified";1.0;"=";0.0;0.0
3660;487;"Papilloma- squamous cell";"Clitoral gland";"Not specified";0.5041;"<=";0.0;0.0
3661;488;"Papilloma- squamous cell";"Clitoral gland";"Not specified";0.4369;"<=";0.0;0.0
3662;1129;"Lymphoma- malignant- adventitia";"Coagulating gland";"Not specified";0.5;"<=";0.0;0.0
3663;490;"Lymphoma- malignant- adventitia";"Coagulating gland";"Not specified";0.5;"<=";0.0;0.0
3667;1129;"Adenocarcinoma";"Coagulating gland";"Not specified";1.0;"=";0.0;0.0
3668;490;"Adenocarcinoma";"Coagulating gland";"Not specified";1.0;"=";0.0;0.0
3678;1129;"Carcinoma";"Coagulating gland";"Not specified";0.5;"<=";0.0;782.370225
3679;490;"Carcinoma";"Coagulating gland";"Not specified";0.5;"<=";0.0;794.955067
3681;490;"Sarcoma- histiocytic";"Coagulating gland";"Not specified";1.0;"=";0.0;0.0
3683;490;"Leukaemia- granulocytic";"Coagulating gland";"Not specified";1.0;"=";0.0;0.0
3690;1129;"Lymphoma- malignant";"Coagulating gland";"Not specified";0.5;"<=";0.0;0.0
3691;490;"Lymphoma- malignant";"Coagulating gland";"Not specified";0.4384;"<=";0.0;0.0
3696;490;"Sarcoma";"Coagulating gland";"Not specified";1.0;"=";0.0;0.0
3739;1129;"Tumour- neural crest";"Ear";"Not specified";1.0;"=";0.0;0.0
3740;490;"Tumour- neural crest";"Ear";"Not specified";1.0;"=";0.0;0.0
3749;487;"Papilloma- squamous cell";"Ear";"Not specified";1.0;"=";0.0;0.0
3750;488;"Papilloma- squamous cell";"Ear";"Not specified";1.0;"=";0.0;0.0
3778;1129;"Carcinoma";"Epididymis";"Not specified";0.5;"<=";0.0;782.370225
3779;490;"Carcinoma";"Epididymis";"Not specified";0.5;"<=";0.0;794.955067
3787;744;"Histiocytoma- fibrous";"Epididymis";"Not specified";1.0;"=";0.0;0.0
3814;26;"Sarcoma- histiocytic";"Epididymis";"Not specified";0.5;"<=";0.0;0.0
3836;490;"Leukaemia- granulocytic";"Epididymis";"Not specified";1.0;"=";0.0;0.0
3853;744;"Leukaemia- mononuclear cell";"Epididymis";"Not specified";0.2475;"<=";0.0;983.93108
3855;192;"Leukaemia- mononuclear cell";"Epididymis";"Not specified";1.0;"=";0.0;0.0
3909;1129;"Lymphoma- malignant";"Epididymis";"Not specified";0.5;"<=";0.0;0.0
3910;490;"Lymphoma- malignant";"Epididymis";"Not specified";0.4384;"<=";0.0;0.0
3942;744;"Mesothelioma- malignant";"Epididymis";"Not specified";1.0;"=";0.0;0.0
3944;192;"Mesothelioma- malignant";"Epididymis";"Not specified";0.3189;"<=";0.0;0.0
3967;1129;"Mesothelioma- malignant";"Epididymis";"Not specified";0.5;"<=";0.0;0.0
3968;490;"Mesothelioma- malignant";"Epididymis";"Not specified";0.5;"<=";0.0;0.0
3995;490;"Histiocytoma- fibrous- adventitia";"Oesophagus";"Not specified";1.0;"=";0.0;0.0
4011;744;"Sarcoma- histiocytic";"Oesophagus";"Not specified";0.5;"<=";0.0;0.0
4012;5;"Sarcoma- histiocytic";"Oesophagus";"Not specified";0.5;"<=";0.0;0.0
4017;192;"Leukaemia- mononuclear cell";"Oesophagus";"Not specified";0.5;"<=";0.0;0.0
4022;743;"Lipoma";"Oesophagus";"Not specified";0.5;"<=";0.0;0.0
4031;190;"Lymphoma- malignant";"Oesophagus";"Not specified";0.5;"<=";0.0;0.0
