"ChemID";"StudyID";"Species";"Strain";"Sex";"Exposure_Time";"Exposure_Unit";"Experiment_Time";"Experiment_Unit";"Route";"Notes"
"241";1306;"Rat";"Donryu";"Male";98.0;"week(s)";101.0;"week(s)";"Diet";"Exposure and experiment times are mean values across all dose groups"
"241";1307;"Mouse";"BDF1";"Female";55.0;"week(s)";68.0;"week(s)";"Diet";""
"241";1308;"Mouse";"BDF1";"Female";55.0;"week(s)";73.0;"week(s)";"Diet";""
"241";1309;"Rat";"Wistar";"Mixed";52.0;"week(s)";123.0;"week(s)";"Gavage";""
"288";1534;"Mouse";"Swiss";"Female";56.0;"week(s)";56.0;"week(s)";"Gavage";"Test subject survival was decreased"
"288";1535;"Mouse";"Swiss";"Male";56.0;"week(s)";56.0;"week(s)";"Gavage";"Test subject survival was decreased"
"305";1635;"Mouse";"B6C3F1";"Female";103.0;"week(s)";105.0;"week(s)";"Diet";""
"305";1636;"Mouse";"B6C3F1";"Male";103.0;"week(s)";104.0;"week(s)";"Diet";""
"355";1839;"Rat";"Fischer 344/Jcl";"Female";52.0;"week(s)";52.0;"week(s)";"Diet";""
"355";1840;"Rat";"Fischer 344/Jcl";"Male";52.0;"week(s)";52.0;"week(s)";"Diet";""
"363";1863;"Mouse";"B6C3F1";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported. Test subject survival was decreased"
"363";1864;"Mouse";"CD1";"Female";143.0;"week(s)";151.0;"week(s)";"Drinking water";"Irregular dosing schedules were used. Test subject survival was decreased"
"363";1865;"Mouse";"CD1";"Male";135.0;"week(s)";159.0;"week(s)";"Drinking water";"Irregular dosing schedules were used. Test subject survival was decreased"
"363";1866;"Mouse";"B6C3F1";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"363";1867;"Mouse";"ICR";"Male";102.0;"week(s)";104.0;"week(s)";"Diet";"Exposure and experiment times are mean values across all dose groups"
"363";1868;"Mouse";"ICR";"Female";52.0;"week(s)";52.0;"week(s)";"Diet";""
"363";1869;"Mouse";"ICR";"Male";52.0;"week(s)";52.0;"week(s)";"Diet";""
"363";1870;"Mouse";"ICR";"Female";78.0;"week(s)";78.0;"week(s)";"Diet";""
"363";1871;"Mouse";"ICR";"Male";78.0;"week(s)";78.0;"week(s)";"Diet";""
"363";1872;"Mouse";"ICR";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"363";1873;"Mouse";"ICR";"Female";80.0;"week(s)";80.0;"week(s)";"Diet";""
"363";1874;"Mouse";"ICR";"Male";80.0;"week(s)";80.0;"week(s)";"Diet";""
"363";1875;"Rat";"Wistar";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"363";1876;"Rat";"Wistar";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"363";1877;"Rat";"Sprague-Dawley";"Female";52.0;"week(s)";52.0;"week(s)";"Diet";""
"363";1878;"Rat";"Sprague-Dawley";"Male";52.0;"week(s)";52.0;"week(s)";"Diet";""
"363";1879;"Rat";"Sprague-Dawley";"Female";78.0;"week(s)";78.0;"week(s)";"Diet";""
"363";1880;"Rat";"Sprague-Dawley";"Male";78.0;"week(s)";78.0;"week(s)";"Diet";""
"363";1881;"Rat";"Sprague-Dawley";"Female";130.0;"week(s)";130.0;"week(s)";"Diet";""
"363";1882;"Rat";"Sprague-Dawley";"Male";130.0;"week(s)";130.0;"week(s)";"Diet";""
"372";1909;"Mouse";"B6C3F1";"Female";103.0;"week(s)";104.0;"week(s)";"Diet";""
"372";1910;"Mouse";"B6C3F1";"Male";103.0;"week(s)";104.0;"week(s)";"Diet";""
"372";1911;"Rat";"Fischer 344";"Female";103.0;"week(s)";105.0;"week(s)";"Diet";""
"372";1912;"Rat";"Fischer 344";"Male";103.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1927;"Rhesus monkey";"";"Mixed";799.0;"week(s)";799.0;"week(s)";"Multiple routes";"The dose is the mean value of individual animals or a narrow dose range. The number of animals represents the number alive when the first tumour was observed. Tumours from animals surviving longer than the last treated animal were discounted from the analysis"
"376";1928;"Cynomolgus monkey";"";"Mixed";903.0;"week(s)";903.0;"week(s)";"Multiple routes";"The dose is the mean value of individual animals or a narrow dose range. The number of animals represents the number alive when the first tumour was observed. Tumours from animals surviving longer than the last treated animal were discounted from the analysis"
"376";1929;"Tree shrew";"";"Mixed";172.0;"week(s)";172.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1930;"Rat";"Buffalo";"Male";35.0;"week(s)";65.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1931;"Rat";"WAG";"Male";69.0;"week(s)";69.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1932;"Rat";"Sprague-Dawley";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1933;"Rat";"Wistar";"Male";55.0;"week(s)";55.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1934;"Rat";"Buffalo";"Male";26.0;"week(s)";52.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1935;"Rat";"Fischer 344";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1936;"Rat";"Fischer 344";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"376";1937;"Rat";"Fischer 344";"Male";95.0;"week(s)";105.0;"week(s)";"Diet";"Exposure and experiment times are mean values across all dose groups"
"376";1938;"Rat";"Fischer 344";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1939;"Rat";"Fischer 344";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1940;"Rat";"Wistar-OSU";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1941;"Rat";"Wistar-OSU";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1942;"Rat";"Sprague-Dawley";"Mixed";95.0;"week(s)";95.0;"week(s)";"Diet";""
"376";1943;"Rat";"Fischer 344";"Male";52.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1944;"Rat";"MRC Porton";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1945;"Rat";"MRC Porton";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"376";1946;"Mouse";"C57BL/BVI";"Female";52.0;"week(s)";92.0;"week(s)";"Intraperitoneal";""
"376";1947;"Mouse";"C57BL/BVI";"Male";52.0;"week(s)";92.0;"week(s)";"Intraperitoneal";""
"376";1948;"Rat";"Fischer 344";"Female";75.0;"week(s)";75.0;"week(s)";"Diet";""
"376";1949;"Rat";"Fischer 344";"Male";75.0;"week(s)";75.0;"week(s)";"Diet";""
"382";1986;"Mouse";"B6AKF1";"Female";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"382";1987;"Mouse";"B6AKF1";"Male";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"382";1988;"Mouse";"B6C3F1";"Female";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"382";1989;"Mouse";"B6C3F1";"Male";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"430";2230;"Rat";"Fischer 344";"Female";52.0;"week(s)";52.0;"week(s)";"Gavage";"Irregular dosing schedules were used. Results for only a small number of tissues were reported"
"430";2231;"Rat";"Fischer 344";"Male";52.0;"week(s)";52.0;"week(s)";"Gavage";"Results for only a small number of tissues were reported"
"437";2268;"Rat";"Fischer 344";"Male";99.0;"week(s)";103.0;"week(s)";"Diet";"Exposure and experiment times are mean values across all dose groups. Test subject survival was decreased"
"437";2269;"Mouse";"B6C3F1";"Female";101.0;"week(s)";104.0;"week(s)";"Diet";""
"437";2270;"Mouse";"B6C3F1";"Male";101.0;"week(s)";103.0;"week(s)";"Diet";""
"437";2271;"Rat";"Fischer 344";"Female";101.0;"week(s)";103.0;"week(s)";"Diet";""
"451";2333;"Rat";"Fischer 344/DuCrj";"Male";52.0;"week(s)";52.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"451";2334;"Rat";"Fischer 344/DuCrj";"Female";104.0;"week(s)";108.0;"week(s)";"Drinking water";""
"451";2335;"Rat";"Fischer 344/DuCrj";"Male";104.0;"week(s)";108.0;"week(s)";"Drinking water";""
"451";2336;"Rat";"Fischer 344/DuCrj";"Male";52.0;"week(s)";52.0;"week(s)";"Drinking water";""
"459";2390;"Mouse";"B6C3F1";"Female";106.0;"week(s)";106.0;"week(s)";"Diet";""
"459";2391;"Mouse";"B6C3F1";"Male";106.0;"week(s)";106.0;"week(s)";"Diet";""
"459";2392;"Rat";"Fischer 344";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"459";2393;"Rat";"Fischer 344";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"478";2446;"Mouse";"B6C3F1";"Female";104.0;"week(s)";104.0;"week(s)";"Gavage";""
"478";2447;"Mouse";"B6C3F1";"Male";104.0;"week(s)";104.0;"week(s)";"Gavage";""
"478";2448;"Rat";"Fischer 344";"Female";104.0;"week(s)";104.0;"week(s)";"Gavage";""
"478";2449;"Rat";"Fischer 344";"Male";104.0;"week(s)";104.0;"week(s)";"Gavage";""
"531";2724;"Mouse";"B6C3F1";"Female";104.0;"week(s)";104.0;"week(s)";"Inhalation";"Results for only a small number of tissues were reported"
"531";2725;"Mouse";"B6C3F1";"Male";104.0;"week(s)";104.0;"week(s)";"Inhalation";"Results for only a small number of tissues were reported"
"531";2726;"Rat";"Fischer 344";"Female";104.0;"week(s)";104.0;"week(s)";"Inhalation";"Results for only a small number of tissues were reported"
"531";2727;"Rat";"Fischer 344";"Male";104.0;"week(s)";104.0;"week(s)";"Inhalation";"Results for only a small number of tissues were reported"
"531";2728;"Mouse";"B6C3F1";"Female";26.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2729;"Mouse";"B6C3F1";"Male";26.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2730;"Mouse";"B6C3F1";"Female";117.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2731;"Mouse";"B6C3F1";"Male";117.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2732;"Rat";"Fischer 344";"Female";26.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2733;"Rat";"Fischer 344";"Male";26.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2734;"Rat";"Fischer 344";"Female";117.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2735;"Rat";"Fischer 344";"Male";117.0;"week(s)";117.0;"week(s)";"Inhalation";""
"531";2736;"Rat";"Fischer 344";"Male";26.0;"week(s)";91.0;"week(s)";"Gavage";""
"531";2737;"Rat";"Fischer 344";"Male";52.0;"week(s)";52.0;"week(s)";"Gavage";""
"531";2738;"Rat";"Fischer 344";"Male";52.0;"week(s)";60.0;"week(s)";"Gavage";""
"531";2739;"Rat";"Fischer 344";"Male";52.0;"week(s)";91.0;"week(s)";"Gavage";""
"531";2740;"Mouse";"B6C3F1";"Female";103.0;"week(s)";104.0;"week(s)";"Gavage";""
"531";2741;"Mouse";"B6C3F1";"Male";103.0;"week(s)";104.0;"week(s)";"Gavage";""
"531";2742;"Rat";"Fischer 344";"Female";103.0;"week(s)";105.0;"week(s)";"Gavage";""
"531";2743;"Rat";"Fischer 344";"Male";103.0;"week(s)";105.0;"week(s)";"Gavage";""
"536";2749;"Rat";"Fischer 344";"Male";103.0;"week(s)";103.0;"week(s)";"Diet";"Test subject survival was decreased"
"536";2750;"Mouse";"C3H (MTV+)";"Female";73.0;"week(s)";73.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"536";2751;"Mouse";"C3H (MTV+)";"Male";73.0;"week(s)";73.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"536";2752;"Mouse";"TM";"Female";73.0;"week(s)";73.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"536";2753;"Mouse";"TM";"Male";73.0;"week(s)";73.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"536";2754;"Rat";"Fischer 344";"Female";103.0;"week(s)";103.0;"week(s)";"Diet";""
"557";2824;"Rat";"Sprague-Dawley";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported. Test subject survival was decreased"
"557";2825;"Rat";"Sprague-Dawley";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";"Results for only a small number of tissues were reported. Test subject survival was decreased"
"557";2826;"Rat";"Sprague-Dawley";"Female";52.0;"week(s)";52.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"557";2827;"Rat";"Sprague-Dawley";"Male";52.0;"week(s)";52.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"566";2844;"Mouse";"B6C3F1";"Female";104.0;"week(s)";106.0;"week(s)";"Diet";"Irregular dosing schedules were used. Test subject survival was decreased"
"566";2845;"Mouse";"B6C3F1";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"566";2846;"Rat";"Fischer 344";"Female";104.0;"week(s)";107.0;"week(s)";"Diet";""
"566";2847;"Rat";"Fischer 344";"Male";104.0;"week(s)";107.0;"week(s)";"Diet";""
"567";2848;"Rat";"Wistar";"Male";52.0;"week(s)";52.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"567";2849;"Rat";"Wistar";"Male";78.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"567";2850;"Mouse";"ICR";"Female";78.0;"week(s)";78.0;"week(s)";"Diet";""
"567";2851;"Mouse";"ICR";"Male";78.0;"week(s)";78.0;"week(s)";"Diet";""
"567";2852;"Rat";"Wistar";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"567";2853;"Rat";"Wistar";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"589";2939;"Rat";"Fischer 344/DuCrj";"Female";52.0;"week(s)";52.0;"week(s)";"Gavage";""
"589";2940;"Rat";"Fischer 344/DuCrj";"Male";52.0;"week(s)";52.0;"week(s)";"Gavage";""
"623";3057;"Mouse";"B6AKF1";"Female";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"623";3058;"Mouse";"B6AKF1";"Male";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"623";3059;"Mouse";"B6C3F1";"Female";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"623";3060;"Mouse";"B6C3F1";"Male";76.0;"week(s)";76.0;"week(s)";"Gavage then diet";"Exposure began pre-weaning. Irregular dosing schedules were used"
"645";3136;"Rat";"Sprague-Dawley";"Female";46.0;"week(s)";66.0;"week(s)";"Diet";""
"645";3137;"Rat";"Sprague-Dawley";"Female";46.0;"week(s)";66.0;"week(s)";"Diet";""
"672";3257;"Rat";"Fischer 344";"Male";75.0;"week(s)";75.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3258;"Mouse";"Alderly Park";"Female";26.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3259;"Mouse";"Alderly Park";"Male";26.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3260;"Mouse";"Alderly Park";"Female";52.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3261;"Mouse";"Alderly Park";"Male";52.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3262;"Mouse";"Alderly Park";"Female";78.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3263;"Mouse";"Alderly Park";"Male";78.0;"week(s)";78.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"672";3264;"Rat";"Alpk:APfSD";"Female";26.0;"week(s)";104.0;"week(s)";"Diet";""
"672";3265;"Rat";"Alpk:APfSD";"Male";26.0;"week(s)";104.0;"week(s)";"Diet";""
"672";3266;"Rat";"Alpk:APfSD";"Female";52.0;"week(s)";104.0;"week(s)";"Diet";""
"672";3267;"Rat";"Alpk:APfSD";"Male";52.0;"week(s)";104.0;"week(s)";"Diet";""
"672";3268;"Rat";"Alpk:APfSD";"Female";104.0;"week(s)";104.0;"week(s)";"Diet";""
"672";3269;"Rat";"Alpk:APfSD";"Male";104.0;"week(s)";104.0;"week(s)";"Diet";""
"672";3270;"Mouse";"Alderly Park";"Female";78.0;"week(s)";78.0;"week(s)";"Multiple routes";""
"672";3271;"Mouse";"Alderly Park";"Male";78.0;"week(s)";78.0;"week(s)";"Multiple routes";""
"687";3319;"Rat";"Fischer 344";"Male";54.0;"week(s)";54.0;"week(s)";"Diet";"Results for only a small number of tissues were reported"
"689";3322;"Mouse";"OF1";"Female";74.0;"week(s)";74.0;"week(s)";"Diet";""
